name,direction,info,status,notes,type,Latitude,Longitude
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.78307569,144.9546548
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.82529152,144.9626951
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81406648,144.9884162
On-Road Bike Lane,One Way,,,,On-Road Bike Lane,-37.81916765,144.959629
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.78138447,144.9421648
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.793118,144.9736381
On-Road Bike Lane - Kerbside Separated,Both Directions,,,,On-Road Bike Lane,-37.80291279,144.9579564
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.78462917,144.9580902
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.83380382,144.9798949
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79667771,144.9278773
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.81981818,144.943977
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80974785,144.972945
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79172582,144.9507103
On-Road Bike Lane - Double Chevron Separated,Both Directions,,,,On-Road Bike Lane,-37.81016315,144.9755837
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.8093083,144.9724368
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.77901068,144.9577766
On-Road Bike Lane - Kerbside Separated,Both Directions,,,,On-Road Bike Lane,-37.81063306,144.9602887
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.7908928,144.9505859
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82173028,144.9849702
Off-Road Bike Route,Both Directions,,,Windened 2014/15,Off-Road Bike Route,-37.80221007,144.922181
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81537003,144.9592682
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.80032459,144.9441759
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81631603,144.9785434
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79681891,144.9465466
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.83012037,144.9844616
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.81116147,144.961744
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79879647,144.968377
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.7909489,144.9538067
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81425591,144.9867175
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82182384,144.9869703
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.78485718,144.9614575
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82540691,144.9854111
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.78968583,144.9563493
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79286472,144.9423381
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82249482,144.9472917
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79805348,144.9505456
On-Road Bike Lane - Kerbside Separated,One Way,,,Pre 2012,On-Road Bike Lane,-37.81072041,144.9872141
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.82426373,144.921658
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79314395,144.9544739
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.81858899,144.9703353
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82544796,144.9873116
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80460325,144.9538752
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81170986,144.9846508
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81554347,144.978672
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.80514278,144.9713313
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.83048602,144.9727089
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81831774,144.9864352
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.82078693,144.9471083
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81678944,144.9823171
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81712956,144.9856472
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.83673868,144.9751788
On-Road Bike Lane - Double Chevron Separated,Both Directions,,,Upgraded - double chevron 2012/13,On-Road Bike Lane,-37.81268174,144.9831442
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80103059,144.9499949
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80358623,144.9649265
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81918372,144.9683195
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81938976,144.9874193
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.79033066,144.9375906
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80599151,144.9660187
On-Road Bike Lane - Kerbside Separated,One Way,,,,On-Road Bike Lane,-37.8219946,144.9697178
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81376851,144.9407709
On-Road Bike Lane - Part-Time (peak period),One Way,,,,On-Road Bike Lane,-37.80870935,144.9719998
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79046712,144.9595839
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.82444831,144.9540074
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.79895221,144.932299
On-Road Bike Lane,Both Directions,,,Pre 2012,On-Road Bike Lane,-37.80103922,144.9323222
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.8089585,144.9551153
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.80442178,144.9736313
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.83594553,144.9821198
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79523516,144.9286991
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81474853,144.9424465
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82563465,144.9817475
On-Road Bike Lane - Part-Time (peak period),Both Directions,,,Peak Period Bike Lane 2014/15,On-Road Bike Lane,-37.80876201,144.9704691
Corridor - Sunine to Boxhill,Both Directions,,,Sunshine to Boxhill Corridor,Corridor,-37.81015908,144.9489723
On-Road Bike Lane - Double Chevron Separated,Both Directions,,,,On-Road Bike Lane,-37.7940409,144.972275
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.80271655,144.9620777
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82027721,144.9627569
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82095293,144.9802574
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79222995,144.9494074
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79210546,144.917781
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.78115952,144.9541755
Off-Road Bike Route,Both Directions,,,Pre 2012,Off-Road Bike Route,-37.80388778,144.9323077
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80511491,144.9579961
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.84802502,144.9821811
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79629419,144.9238678
On-Road Bike Lane - Kerbside Separated,One Way,,,2013/14,On-Road Bike Lane,-37.82020842,144.9688294
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.82055875,144.9613863
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82097407,144.9720171
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.83066634,144.9685482
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.80072534,144.9669303
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79627591,144.9731263
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81902492,144.9671449
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80472368,144.9617242
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.7956276,144.9562678
On-Road Bike Lane - Part-Time (peak period),One Way,,,,On-Road Bike Lane,-37.81822861,144.9591957
Informal Bike Route,One Way,,,,Informal Bike Route,-37.80863401,144.9716887
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.80294835,144.9679941
On-Road Bike Lane,Both Directions,,On Road Proposed,Upgraded 2013/14,On-Road Bike Lane,-37.82060571,144.9488517
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82142486,144.9863192
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79572553,144.9501518
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82213486,144.9243853
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.79631718,144.9615158
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.8003716,144.9699684
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.80874387,144.9567974
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.80378318,144.9433494
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.77866061,144.9509057
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82024717,144.9401448
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80370282,144.9554224
On-Road Bike Lane - Part-Time (peak period),Both Directions,,,Peak Period Bike Lane 2012/13,On-Road Bike Lane,-37.81497384,144.9719388
On-Road Bike Lane,Both Directions,,Local Proposed,Contra-flow bike lanes 2014/15,On-Road Bike Lane,-37.7963653,144.9321066
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.8185282,144.9770129
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80129992,144.962326
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.82393087,144.9283415
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.7970172,144.9430648
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81283758,144.9679371
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.78980642,144.9587098
On-Road Bike Lane - Kerbside Separated,One Way,,,2013/14,On-Road Bike Lane,-37.81868432,144.9678943
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80006152,144.960727
Off-Road Bike Route,Both Directions,,,2014/15 Jim Stynes Bridge,Off-Road Bike Route,-37.8231592,144.9536568
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.78892239,144.9419909
On-Road Bike Lane,One Way,,,,On-Road Bike Lane,-37.81807953,144.9678634
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79874782,144.9519263
On-Road Bike Lane - Double Chevron Separated,Both Directions,,,,On-Road Bike Lane,-37.81146728,144.956288
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.79494431,144.9541736
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80392005,144.945165
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81471164,144.9401065
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.78317688,144.9550301
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81670113,144.9828864
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79155744,144.9302829
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79252024,144.964798
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82424341,144.9453489
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.83047173,144.9068844
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.82074059,144.9485751
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.7858193,144.9542618
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.78535003,144.9662787
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.79623663,144.9668537
On-Road Bike Lane,One Way,,,,On-Road Bike Lane,-37.8215984,144.9691603
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.82627616,144.9602558
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.78892222,144.9592012
Off-Road Bike Route - Capital City Trail,Both Directions,,,Widened 2013/14,Off-Road Bike Route,-37.81354314,144.9421735
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80001849,144.9723657
Corridor - St Kilda to Coburg,Both Directions,,,Coburg to St Kilda Corridor,Corridor,-37.80509687,144.9580919
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79783561,144.9414636
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.81826707,144.9606228
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.84129002,144.9807437
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.82747417,144.9607642
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80006112,144.9711819
On-Road Bike Lane - Low Volume preferred bike route,Both Directions,,,,On-Road Bike Lane,-37.8125014,144.9651794
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.84525768,144.9818816
Off-Road Bike Route,Both Directions,,,Pre 2012,Off-Road Bike Route,-37.82653553,144.9558587
On-Road Bike Lane - Part-Time (peak period),Both Directions,,,,On-Road Bike Lane,-37.80936585,144.9742904
Off-Road Bike Route,Both Directions,,,2012/13,Off-Road Bike Route,-37.82256714,144.9399378
Corridor - River,Both Directions,,,River Cycling Corridor,Corridor,-37.82328651,144.9440511
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.7837503,144.945991
On-Road Bike Lane - Part-Time (peak period),One Way,,,,On-Road Bike Lane,-37.81905053,144.9599451
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79025414,144.9439839
On-Road Bike Lane,One Way,,,,On-Road Bike Lane,-37.81808791,144.959499
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80906511,144.9757798
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81974299,144.962531
On-Road Bike Lane,Both Directions,,On Road Proposed,,On-Road Bike Lane,-37.80605613,144.9577279
On-Road Bike Lane,Both Directions,,Local Proposed,Contra-Flow Bike Lanes 2014-15,On-Road Bike Lane,-37.79774866,144.93301
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.80283048,144.9361724
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.83949494,144.9832794
Informal Bike Route,One Way,,,,Informal Bike Route,-37.81106136,144.9885477
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79978742,144.9505359
On-Road Bike Lane - Kerbside Separated,Both Directions,,,,On-Road Bike Lane,-37.8078077,144.9696012
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81592845,144.9348335
Off-Road Bike Route,Both Directions,,,Widened 2013/14,Off-Road Bike Route,-37.82384888,144.9491319
On-Road Bike Lane - Kerbside Separated,Both Directions,,,,On-Road Bike Lane,-37.80359656,144.9634399
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80708782,144.9628384
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79766267,144.9689381
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81784863,144.9831312
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80882934,144.9454313
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81699374,144.9340442
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.82365266,144.9519529
On-Road Bike Lane - Double Chevron Separated,Both Directions,,,,On-Road Bike Lane,-37.80050165,144.954007
Informal Bike Route,Both Directions,,On Road Proposed,,Informal Bike Route,-37.80790469,144.961306
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.81674588,144.9545058
On-Road Bike Lane - Double Chevron Separated,Both Directions,,,,On-Road Bike Lane,-37.79546674,144.9647473
On-Road Bike Lane - Part-Time (peak period),Both Directions,,,Peak Period Bike Lane 2014/15,On-Road Bike Lane,-37.80961137,144.9694166
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79931986,144.9641823
Off-Road Bike Route - Capital City Trail,Both Directions,,,,Off-Road Bike Route,-37.77986275,144.9599582
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.81431905,144.9390097
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.78460673,144.9627324
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81908686,144.9860424
Off-Road Bike Route - Capital City Trail,Both Directions,,,2014/15 Jim Stynes Bridge,Off-Road Bike Route,-37.82304149,144.9494385
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.79373752,144.9473325
On-Road Bike Lane,Both Directions,,Local Proposed,,On-Road Bike Lane,-37.79030566,144.9263668
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.78911146,144.9462154
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.83934501,144.9812036
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.82465982,144.9603523
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.82932603,144.9755365
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.83764001,144.9811813
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80774581,144.9710694
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81843922,144.9746195
On-Road Bike Lane,Both Directions,,,,On-Road Bike Lane,-37.80353815,144.9563457
On-Road Bike Lane,Both Directions,,,Upgraded 2013/14,On-Road Bike Lane,-37.81948278,144.9527443
Informal Bike Route,Both Directions,,,,Informal Bike Route,-37.81730093,144.9602895
Off-Road Bike Route,Both Directions,,,Pre 2012,Off-Road Bike Route,-37.82647931,144.9552805
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.81916793,144.9683782
Off-Road Bike Route,Both Directions,,,,Off-Road Bike Route,-37.79238778,144.9512752
